MaYTe,HoTen,MaDoiTuong,GioiTinh,NgaySinh,SoBHYT,BHTuNgay,BHDenNgay,DiaChi,SoDienThoai
BN0012,Hoàng Thanh Dũng,DT03,Nam,26/07/1963,BT81013562097380,15/02/2025,14/02/2026,"Đường 3/2, Xã Hòa Bắc, TP Hà Nội",0310300084
BN0013,Hồ Văn A,DT01,Nam,15/12/1977,GD86018628286291,02/06/2025,01/06/2026,"A2, Xã Hòa Bắc, Tỉnh Hưng Yên",0770990760
BN0014,Bùi Bảo Long,DT04,Nam,01/10/1941,,,,"Ngõ 12, Phường Nguyễn Du, Tỉnh Hưng Yên",0792974129
BN0015,Hoàng Minh Hùng,DT04,Nam,15/11/1966,,,,"Khu Phố 5, Phường Dương Đông, Tỉnh Hưng Yên",0886402478
BN0016,Đặng Lệ I,DT03,Nữ,28/08/1988,CN17046678484402,02/09/2025,01/09/2026,"Ngõ 12, Phường Lê Lợi, TP HCM",0964730842
BN0017,Nguyễn Mai Hương,DT01,Nữ,31/07/2007,TE62089833853407,09/02/2025,08/02/2026,"Ngõ 12, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0322042611
BN0018,Phạm Yến Vy,DT04,Nữ,26/06/1997,,,,"Đường 3/2, Phường Dương Đông, TP Đà Nẵng",0733962316
BN0019,Nguyễn Mai Hương,DT03,Nữ,29/07/1994,TE16007908492004,01/01/2025,31/12/2025,"Đường 3/2, Xã Hòa Bắc, TP Đà Nẵng",0745699192
BN0020,Hoàng Ngọc Ánh,DT02,Nữ,19/09/2002,,,,"Đường 3/2, Phường Dương Đông, Tỉnh Kiên Giang",0923702527
BN0021,Trần Mỹ Linh,DT01,Nữ,09/10/1995,GD87086979991765,19/11/2025,18/11/2026,"Khu Phố 5, Thị trấn Vĩnh An, TP HCM",0940297750
BN0022,Đặng Mai Hương,DT04,Nữ,27/10/2006,,,,"Ngõ 12, Phường Nguyễn Du, Tỉnh Kiên Giang",0997109935
BN0023,Hoàng Thanh Vân,DT04,Nữ,19/06/2006,,,,"Ngõ 12, Phường Bến Nghé, TP Đà Nẵng",0934281342
BN0024,Bùi Minh Hùng,DT01,Nam,17/01/1996,CN29050200040908,01/01/2025,31/12/2025,"Đường 3/2, Thị trấn Vĩnh An, TP Hà Nội",0310224632
BN0025,Vũ Xuân Bách,DT01,Nam,07/11/1970,TE69076742719182,01/01/2025,31/12/2025,"Số 10, Phường Bến Nghé, Tỉnh Đồng Nai",0990749618
BN0026,Hoàng Ngọc Ánh,DT03,Nữ,27/03/1982,TE41063614495513,01/01/2025,31/12/2025,"Đường 3/2, Thị trấn Vĩnh An, TP Đà Nẵng",0845092538
BN0027,Trần Xuân Bách,DT01,Nam,06/06/1944,BT88036311827642,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, TP Hà Nội",0315546533
BN0028,Phạm Lệ I,DT01,Nữ,04/09/1988,QN77013340946298,16/05/2025,15/05/2026,"Đường 3/2, Phường Nguyễn Du, Tỉnh Đồng Nai",0746604211
BN0029,Hồ Ngọc Ánh,DT04,Nữ,18/12/1964,,,,"Số 10, Phường Bến Nghé, TP HCM",0946562882
BN0030,Hồ Thị Bích C,DT01,Nữ,01/12/1972,QN17028510937187,05/10/2025,04/10/2026,"Ngõ 12, Phường Lê Lợi, TP HCM",0395674796
BN0031,Vũ Bảo Long,DT01,Nam,30/04/1957,QN78045799604434,25/09/2025,24/09/2026,"Ngõ 12, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0320080377
BN0032,Vũ Xuân Bách,DT01,Nam,16/11/1948,TE39050389943892,01/01/2025,31/12/2025,"Khu Phố 5, Phường Bến Nghé, TP Đà Nẵng",0824464076
BN0033,Bùi Mỹ Linh,DT03,Nữ,07/05/1950,BT22097239313440,01/01/2025,31/12/2025,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Đồng Nai",0378107510
BN0034,Bùi Minh Hùng,DT03,Nam,23/01/2015,GD58014324324576,16/11/2025,15/11/2026,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0352756797
BN0035,Đặng Gia Khang,DT01,Nam,12/12/1946,GD68024537661171,01/01/2025,31/12/2025,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0748699430
BN0036,Hồ Mai Hương,DT01,Nữ,27/12/1986,CN17089837129927,01/01/2025,31/12/2025,"Lô B4, Phường Nguyễn Du, Tỉnh Hưng Yên",0818034286
BN0037,Vũ Thanh Vân,DT01,Nữ,08/08/1979,QN79026927769794,01/01/2025,31/12/2025,"Đường 3/2, Thị trấn Vĩnh An, Tỉnh Đồng Nai",0913366597
BN0038,Bùi Mai Hương,DT02,Nữ,17/03/1991,,,,"Đường 3/2, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0993946375
BN0039,Lê Yến Vy,DT01,Nữ,18/12/2005,QN56055959599290,01/01/2025,31/12/2025,"Số 10, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0938164478
BN0040,Hoàng Văn A,DT03,Nam,05/12/1968,TE48015287488883,01/01/2025,31/12/2025,"Đường 3/2, Phường Bến Nghé, Tỉnh Kiên Giang",0955879619
BN0041,Trần Minh Hùng,DT01,Nam,05/08/2015,QN50034421070233,05/05/2025,04/05/2026,"A2, Phường Dương Đông, TP HCM",0318544838
BN0042,Phạm Gia Khang,DT01,Nam,25/12/2003,GD13050507585383,04/03/2025,03/03/2026,"Đường 3/2, Phường Nguyễn Du, Tỉnh Hưng Yên",0942009888
BN0043,Hoàng Gia Khang,DT01,Nam,08/03/1989,BT47043963063635,01/01/2025,31/12/2025,"Khu Phố 5, Xã Hòa Bắc, Tỉnh Đồng Nai",0857172487
BN0044,Vũ Kim F,DT01,Nữ,09/06/1964,GD88015460466005,01/01/2025,31/12/2025,"Đường 3/2, Phường Dương Đông, Tỉnh Hưng Yên",0917501402
BN0045,Bùi Thanh Vân,DT01,Nữ,20/04/1958,BT24054226689770,01/01/2025,31/12/2025,"Khu Phố 5, Phường Nguyễn Du, TP Hà Nội",0770848363
BN0046,Hồ Bảo Long,DT03,Nam,20/09/1945,TE10003257947569,01/01/2025,31/12/2025,"Số 10, Phường Lê Lợi, TP Hà Nội",0343922836
BN0047,Vũ Minh Hùng,DT03,Nam,10/08/1961,BT45048656913455,01/01/2025,31/12/2025,"Đường 3/2, Phường Lê Lợi, TP Đà Nẵng",0819021663
BN0048,Nguyễn Thanh Vân,DT02,Nữ,31/01/1950,,,,"A2, Phường Lê Lợi, Tỉnh Đồng Nai",0399814625
BN0049,Nguyễn Kim F,DT01,Nữ,01/11/1975,TE29090471573362,01/01/2025,31/12/2025,"Khu Phố 5, Xã Hòa Bắc, TP Đà Nẵng",0368606293
BN0050,Đặng Mỹ Linh,DT04,Nữ,24/11/1954,,,,"Ngõ 12, Phường Lê Lợi, Tỉnh Kiên Giang",0831056139
BN0051,Trần Ngọc Ánh,DT01,Nữ,20/03/1969,QN80098312393072,21/09/2025,20/09/2026,"Số 10, Phường Dương Đông, Tỉnh Hưng Yên",0327410793
BN0052,Nguyễn Quang Vinh,DT01,Nam,21/12/2011,BT71059861882897,01/01/2025,31/12/2025,"Khu Phố 5, Phường Dương Đông, Tỉnh Kiên Giang",0781309295
BN0053,Hoàng Hoàng Nam,DT01,Nam,21/09/2008,CN60018419240202,01/01/2025,31/12/2025,"Ngõ 12, Thị trấn Vĩnh An, TP Đà Nẵng",0756495333
BN0054,Vũ Gia Khang,DT02,Nam,18/05/1994,,,,"A2, Phường Nguyễn Du, TP Đà Nẵng",0817259445
BN0055,Trần Gia Khang,DT03,Nam,30/11/1987,TE35048840074284,20/03/2025,19/03/2026,"Ngõ 12, Thị trấn Vĩnh An, TP HCM",0768892703
BN0056,Hoàng Quang Vinh,DT04,Nam,21/09/2020,,,,"Số 10, Xã Hòa Bắc, Tỉnh Đồng Nai",0378677872
BN0057,Hoàng Gia Khang,DT01,Nam,07/09/2004,CN11036284032869,01/01/2025,31/12/2025,"Đường 3/2, Phường Dương Đông, Tỉnh Kiên Giang",0711901969
BN0058,Phạm Thu Thảo,DT01,Nữ,30/06/1970,GD22020507624285,01/01/2025,31/12/2025,"Lô B4, Phường Dương Đông, TP HCM",0863557537
BN0059,Vũ Minh Hùng,DT01,Nam,05/05/1949,BT18063361146916,01/01/2025,31/12/2025,"Ngõ 12, Phường Dương Đông, Tỉnh Đồng Nai",0327426577
BN0060,Đặng Thu Thảo,DT01,Nữ,13/06/2002,QN04001752591803,01/01/2025,31/12/2025,"Lô B4, Phường Lê Lợi, TP Hà Nội",0995028901
BN0061,Đặng Minh Hùng,DT01,Nam,25/08/1997,TE38007337864157,01/01/2025,31/12/2025,"Số 10, Phường Dương Đông, Tỉnh Đồng Nai",0723008249
BN0062,Đỗ Lệ I,DT01,Nữ,13/10/1956,CN09041188034463,01/01/2025,31/12/2025,"Số 10, Phường Lê Lợi, Tỉnh Hưng Yên",0935413890
BN0063,Nguyễn Kim F,DT01,Nữ,29/10/2006,CN49005904958918,28/07/2025,27/07/2026,"Đường 3/2, Thị trấn Vĩnh An, TP HCM",0880911061
BN0064,Đỗ Bảo Long,DT01,Nam,04/04/1979,TE17032868099270,16/11/2025,15/11/2026,"Khu Phố 5, Phường Dương Đông, Tỉnh Hưng Yên",0892419271
BN0065,Trần Kim F,DT01,Nữ,22/05/2009,TE45077238932849,01/01/2025,31/12/2025,"Số 10, Phường Nguyễn Du, Tỉnh Đồng Nai",0777439801
BN0066,Trần Yến Vy,DT02,Nữ,24/07/1980,,,,"Đường 3/2, Phường Nguyễn Du, Tỉnh Kiên Giang",0351380709
BN0067,Hoàng Anh Tuấn,DT01,Nam,01/02/1982,TE68078742623608,01/01/2025,31/12/2025,"Số 10, Phường Lê Lợi, Tỉnh Hưng Yên",0923603846
BN0068,Đỗ Thanh Dũng,DT01,Nam,12/06/2010,TE25079182865188,01/01/2025,31/12/2025,"Số 10, Phường Dương Đông, TP Hà Nội",0337267219
BN0069,Phạm Hoàng Nam,DT02,Nam,11/03/1983,,,,"Số 10, Phường Dương Đông, Tỉnh Kiên Giang",0925043664
BN0070,Đặng Mỹ Linh,DT01,Nữ,28/01/1973,BT52091412346454,01/01/2025,31/12/2025,"Khu Phố 5, Xã Hòa Bắc, Tỉnh Kiên Giang",0787193901
BN0071,Trần Quang Vinh,DT01,Nam,30/03/1969,CN69061776246843,01/01/2025,31/12/2025,"A2, Phường Lê Lợi, TP Hà Nội",0834677026
BN0072,Trần Bảo Long,DT01,Nam,08/10/1969,BT39062559337557,01/01/2025,31/12/2025,"Đường 3/2, Phường Bến Nghé, Tỉnh Hưng Yên",0326382239
BN0073,Đặng Mỹ Linh,DT01,Nữ,09/11/1992,BT22055254124981,01/11/2025,31/10/2026,"Đường 3/2, Thị trấn Vĩnh An, TP Đà Nẵng",0764943742
BN0074,Hồ Thanh Dũng,DT01,Nam,08/08/2004,TE32010957338678,24/12/2025,23/12/2026,"Lô B4, Phường Bến Nghé, Tỉnh Hưng Yên",0866054418
BN0075,Đặng Bảo Long,DT01,Nam,03/05/1940,CN77089774230342,02/11/2025,01/11/2026,"Số 10, Xã Hòa Bắc, Tỉnh Hưng Yên",0956936393
BN0076,Bùi Bảo Long,DT01,Nam,04/05/2009,CN52075279451843,01/01/2025,31/12/2025,"Số 10, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0756233957
BN0077,Bùi Minh Hùng,DT03,Nam,19/05/1996,GD06029803983114,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0825907504
BN0078,Hồ Thanh Dũng,DT02,Nam,07/01/2004,,,,"Ngõ 12, Xã Hòa Bắc, Tỉnh Đồng Nai",0383734601
BN0079,Bùi Gia Khang,DT01,Nam,17/07/1999,BT34098639385364,01/01/2025,31/12/2025,"Ngõ 12, Phường Lê Lợi, TP Đà Nẵng",0721336400
BN0080,Đỗ Ngọc Ánh,DT01,Nữ,19/08/1983,GD43053698635282,01/01/2025,31/12/2025,"Số 10, Xã Hòa Bắc, Tỉnh Hưng Yên",0377697473
BN0081,Trần Anh Tuấn,DT01,Nam,24/04/2008,TE77066451684305,01/01/2025,31/12/2025,"Số 10, Phường Nguyễn Du, TP Hà Nội",0966173416
BN0082,Hồ Văn A,DT03,Nam,10/05/1962,BT87038369330889,01/01/2025,31/12/2025,"Lô B4, Phường Nguyễn Du, Tỉnh Kiên Giang",0868407752
BN0083,Đặng Thanh Dũng,DT02,Nam,24/07/2011,,,,"Ngõ 12, Phường Bến Nghé, TP HCM",0962876513
BN0084,Trần Văn A,DT01,Nam,11/08/1971,CN70059263971096,01/01/2025,31/12/2025,"Đường 3/2, Thị trấn Vĩnh An, TP HCM",0849379452
BN0085,Phạm Xuân Bách,DT01,Nam,25/10/2012,BT97069476705280,21/11/2025,20/11/2026,"Ngõ 12, Phường Lê Lợi, TP Hà Nội",0953826735
BN0086,Đặng Minh Hùng,DT01,Nam,27/07/1997,QN39032303767847,01/01/2025,31/12/2025,"A2, Phường Dương Đông, Tỉnh Kiên Giang",0776303584
BN0087,Lê Thu Thảo,DT03,Nữ,29/12/1967,TE16099868900523,20/09/2025,19/09/2026,"Lô B4, Xã Hòa Bắc, TP HCM",0355997431
BN0088,Hồ Gia Khang,DT02,Nam,22/08/2006,,,,"Ngõ 12, Xã Hòa Bắc, TP Đà Nẵng",0878298698
BN0089,Vũ Mai Hương,DT04,Nữ,22/05/1997,,,,"Số 10, Phường Bến Nghé, TP HCM",0776693981
BN0090,Hồ Mai Hương,DT02,Nữ,27/06/1978,,,,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0964164819
BN0091,Đặng Yến Vy,DT02,Nữ,07/03/2017,,,,"Đường 3/2, Phường Bến Nghé, TP Đà Nẵng",0965629117
BN0092,Hồ Yến Vy,DT01,Nữ,20/10/1970,QN73080325885108,01/01/2025,31/12/2025,"Lô B4, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0370644326
BN0093,Lê Hoàng Nam,DT01,Nam,10/04/1988,QN76008828832466,01/01/2025,31/12/2025,"Lô B4, Phường Dương Đông, TP Đà Nẵng",0389086255
BN0094,Đặng Kim F,DT03,Nữ,20/06/1984,BT51097283886082,01/01/2025,31/12/2025,"Ngõ 12, Xã Hòa Bắc, Tỉnh Đồng Nai",0877851372
BN0095,Đỗ Ngọc Ánh,DT01,Nữ,07/04/1965,BT49082224125780,06/03/2025,05/03/2026,"Ngõ 12, Thị trấn Vĩnh An, Tỉnh Đồng Nai",0986918595
BN0096,Đỗ Thị Bích C,DT01,Nữ,07/06/1954,BT91080192944322,01/01/2025,31/12/2025,"Số 10, Xã Hòa Bắc, TP HCM",0863911292
BN0097,Vũ Thanh Dũng,DT01,Nam,18/01/2000,QN03043658126583,01/01/2025,31/12/2025,"Đường 3/2, Xã Hòa Bắc, Tỉnh Đồng Nai",0970651743
BN0098,Hồ Lệ I,DT02,Nữ,31/10/2003,,,,"Số 10, Phường Dương Đông, Tỉnh Đồng Nai",0717108575
BN0099,Lê Minh Hùng,DT04,Nam,07/06/1947,,,,"Lô B4, Xã Hòa Bắc, Tỉnh Đồng Nai",0817470563
BN0100,Vũ Bảo Long,DT01,Nam,30/03/1940,CN64067965709027,01/01/2025,31/12/2025,"Ngõ 12, Phường Bến Nghé, Tỉnh Hưng Yên",0360534750
BN0101,Hoàng Lệ I,DT01,Nữ,27/02/2005,GD45076770209190,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, Tỉnh Kiên Giang",0779706217
BN0102,Trần Ngọc Ánh,DT02,Nữ,15/07/2008,,,,"Lô B4, Phường Dương Đông, Tỉnh Kiên Giang",0937117728
BN0103,Đỗ Kim F,DT02,Nữ,10/06/1984,,,,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0985014922
BN0104,Vũ Thu Thảo,DT01,Nữ,09/09/1999,QN83041237952363,01/01/2025,31/12/2025,"A2, Xã Hòa Bắc, Tỉnh Kiên Giang",0878466141
BN0105,Trần Xuân Bách,DT01,Nam,02/05/1971,TE52011683149533,01/01/2025,31/12/2025,"Ngõ 12, Phường Nguyễn Du, Tỉnh Đồng Nai",0778838078
BN0106,Lê Thu Thảo,DT01,Nữ,26/06/2006,QN61053328217829,01/01/2025,31/12/2025,"Ngõ 12, Phường Nguyễn Du, TP HCM",0336656951
BN0107,Đỗ Yến Vy,DT02,Nữ,01/09/1995,,,,"A2, Phường Dương Đông, TP HCM",0958726055
BN0108,Phạm Thanh Vân,DT01,Nữ,27/01/1961,BT57041137319708,01/01/2025,31/12/2025,"Đường 3/2, Phường Dương Đông, Tỉnh Kiên Giang",0783224498
BN0109,Hồ Thu Thảo,DT01,Nữ,15/12/1945,GD16014843055339,01/01/2025,31/12/2025,"Khu Phố 5, Thị trấn Vĩnh An, TP Hà Nội",0978584365
BN0110,Đỗ Kim F,DT01,Nữ,17/08/2015,TE25075261791447,01/01/2025,31/12/2025,"Ngõ 12, Xã Hòa Bắc, Tỉnh Đồng Nai",0858519629
BN0111,Trần Thị Bích C,DT04,Nữ,02/08/1996,,,,"Số 10, Phường Dương Đông, Tỉnh Đồng Nai",0323618724
BN0112,Hoàng Quang Vinh,DT01,Nam,26/08/2009,CN19094194143746,01/01/2025,31/12/2025,"A2, Phường Bến Nghé, TP HCM",0955489174
BN0113,Phạm Hoàng Nam,DT01,Nam,28/01/1994,GD30066799281284,01/01/2025,31/12/2025,"Số 10, Phường Dương Đông, Tỉnh Hưng Yên",0881017083
BN0114,Bùi Mỹ Linh,DT01,Nữ,27/01/1960,TE41030344693434,11/02/2025,10/02/2026,"Số 10, Phường Dương Đông, Tỉnh Kiên Giang",0733081695
BN0115,Đặng Văn A,DT01,Nam,19/05/1942,QN45069402440975,01/01/2025,31/12/2025,"Khu Phố 5, Xã Hòa Bắc, Tỉnh Kiên Giang",0892443688
BN0116,Phạm Thanh Vân,DT02,Nữ,04/02/1998,,,,"Lô B4, Phường Bến Nghé, TP Hà Nội",0364377060
BN0117,Hoàng Bảo Long,DT03,Nam,06/11/1989,QN60070919672377,01/01/2025,31/12/2025,"Đường 3/2, Phường Nguyễn Du, TP Hà Nội",0313282999
BN0118,Bùi Hoàng Nam,DT01,Nam,09/05/2007,BT95056662311691,11/06/2025,10/06/2026,"Ngõ 12, Thị trấn Vĩnh An, TP Hà Nội",0328143386
BN0119,Hoàng Lệ I,DT01,Nữ,10/10/1961,QN87074107742075,01/01/2025,31/12/2025,"Đường 3/2, Xã Hòa Bắc, Tỉnh Hưng Yên",0773929640
BN0120,Đặng Bảo Long,DT04,Nam,05/12/1943,,,,"Số 10, Phường Dương Đông, Tỉnh Hưng Yên",0858120108
BN0121,Nguyễn Hoàng Nam,DT03,Nam,30/01/1969,TE21055976934248,15/09/2025,14/09/2026,"Ngõ 12, Xã Hòa Bắc, Tỉnh Hưng Yên",0781376137
BN0122,Lê Thanh Dũng,DT02,Nam,18/04/2016,,,,"Ngõ 12, Phường Lê Lợi, Tỉnh Hưng Yên",0354952472
BN0123,Hoàng Yến Vy,DT01,Nữ,30/07/1997,TE36035703920109,23/04/2025,22/04/2026,"Ngõ 12, Phường Nguyễn Du, Tỉnh Hưng Yên",0871503992
BN0124,Lê Thanh Dũng,DT03,Nam,02/08/1984,BT96008617631368,01/01/2025,31/12/2025,"Khu Phố 5, Phường Lê Lợi, TP Đà Nẵng",0771130442
BN0125,Đỗ Văn A,DT01,Nam,25/07/1959,GD04043597994011,01/01/2025,31/12/2025,"Ngõ 12, Phường Nguyễn Du, TP Hà Nội",0943524184
BN0126,Hồ Gia Khang,DT01,Nam,20/10/1954,BT12042113539416,01/01/2025,31/12/2025,"Số 10, Phường Nguyễn Du, Tỉnh Đồng Nai",0937890849
BN0127,Phạm Gia Khang,DT04,Nam,29/10/2000,,,,"Đường 3/2, Thị trấn Vĩnh An, TP Hà Nội",0343165905
BN0128,Vũ Văn A,DT02,Nam,28/06/1948,,,,"Lô B4, Phường Bến Nghé, Tỉnh Kiên Giang",0730704427
BN0129,Hồ Anh Tuấn,DT01,Nam,18/06/1964,CN97002565228131,01/01/2025,31/12/2025,"Khu Phố 5, Phường Nguyễn Du, Tỉnh Đồng Nai",0879409490
BN0130,Hồ Mỹ Linh,DT01,Nữ,27/11/1990,QN69069579749116,01/01/2025,31/12/2025,"Đường 3/2, Phường Bến Nghé, Tỉnh Hưng Yên",0994892250
BN0131,Bùi Mỹ Linh,DT02,Nữ,03/08/1970,,,,"Đường 3/2, Phường Nguyễn Du, TP Hà Nội",0317289130
BN0132,Nguyễn Thanh Vân,DT02,Nữ,02/11/1976,,,,"Khu Phố 5, Phường Bến Nghé, TP HCM",0778943793
BN0133,Đặng Văn A,DT01,Nam,08/11/1983,CN72009621917630,01/01/2025,31/12/2025,"Số 10, Phường Lê Lợi, Tỉnh Hưng Yên",0817522176
BN0134,Hoàng Gia Khang,DT04,Nam,23/01/1988,,,,"Khu Phố 5, Thị trấn Vĩnh An, TP Đà Nẵng",0757179905
BN0135,Nguyễn Ngọc Ánh,DT04,Nữ,28/06/2007,,,,"Đường 3/2, Phường Nguyễn Du, TP Đà Nẵng",0984145662
BN0136,Hồ Thị Bích C,DT04,Nữ,03/06/1976,,,,"A2, Phường Lê Lợi, TP Đà Nẵng",0875891592
BN0137,Lê Hoàng Nam,DT01,Nam,25/04/1941,QN61063246325572,01/01/2025,31/12/2025,"Số 10, Phường Bến Nghé, TP Đà Nẵng",0785427978
BN0138,Bùi Kim F,DT04,Nữ,21/06/2019,,,,"Khu Phố 5, Phường Lê Lợi, TP Đà Nẵng",0376598440
BN0139,Đỗ Bảo Long,DT01,Nam,16/09/1964,CN28050522396334,01/01/2025,31/12/2025,"Số 10, Phường Dương Đông, Tỉnh Đồng Nai",0747965581
BN0140,Đỗ Gia Khang,DT01,Nam,02/11/1961,CN17070180298826,01/01/2025,31/12/2025,"Ngõ 12, Phường Dương Đông, Tỉnh Đồng Nai",0342107409
BN0141,Phạm Thị Bích C,DT01,Nữ,17/06/1954,TE29046943602444,20/11/2025,19/11/2026,"Lô B4, Thị trấn Vĩnh An, TP Đà Nẵng",0776324136
BN0142,Đỗ Mai Hương,DT01,Nữ,06/02/1976,QN78001603567478,14/02/2025,13/02/2026,"Khu Phố 5, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0718519971
BN0143,Hồ Thanh Dũng,DT01,Nam,22/01/1958,GD61031105693467,01/01/2025,31/12/2025,"A2, Xã Hòa Bắc, Tỉnh Đồng Nai",0788159491
BN0144,Đặng Yến Vy,DT04,Nữ,30/05/1967,,,,"Số 10, Phường Lê Lợi, Tỉnh Hưng Yên",0992451178
BN0145,Vũ Kim F,DT01,Nữ,04/07/1982,QN85030181663832,01/01/2025,31/12/2025,"Lô B4, Phường Lê Lợi, Tỉnh Đồng Nai",0998784205
BN0146,Đặng Kim F,DT03,Nữ,28/10/1978,BT74019787157988,01/01/2025,31/12/2025,"Ngõ 12, Phường Nguyễn Du, Tỉnh Kiên Giang",0933774376
BN0147,Hồ Quang Vinh,DT04,Nam,22/03/2011,,,,"Lô B4, Thị trấn Vĩnh An, TP Hà Nội",0912449398
BN0148,Hoàng Quang Vinh,DT02,Nam,30/09/2011,,,,"A2, Phường Lê Lợi, TP Đà Nẵng",0815887635
BN0149,Đỗ Thanh Dũng,DT01,Nam,14/06/2002,GD39040642268250,01/01/2025,31/12/2025,"Số 10, Phường Bến Nghé, Tỉnh Hưng Yên",0376980028
BN0150,Vũ Lệ I,DT03,Nữ,01/05/2007,TE86074944871539,01/01/2025,31/12/2025,"A2, Xã Hòa Bắc, TP Đà Nẵng",0357151401
BN0151,Đỗ Quang Vinh,DT01,Nam,17/10/1992,BT47078953732193,01/01/2025,31/12/2025,"Số 10, Phường Dương Đông, TP Đà Nẵng",0326581021
BN0152,Đỗ Lệ I,DT01,Nữ,25/09/2001,TE49025662840514,01/01/2025,31/12/2025,"Lô B4, Xã Hòa Bắc, TP Đà Nẵng",0843122709
BN0153,Lê Yến Vy,DT04,Nữ,22/11/2013,,,,"Đường 3/2, Phường Nguyễn Du, Tỉnh Hưng Yên",0717855316
BN0154,Nguyễn Mỹ Linh,DT01,Nữ,11/07/1950,TE60012893939629,01/01/2025,31/12/2025,"Khu Phố 5, Phường Dương Đông, Tỉnh Đồng Nai",0370489900
BN0155,Hồ Bảo Long,DT02,Nam,21/10/1986,,,,"Đường 3/2, Thị trấn Vĩnh An, Tỉnh Đồng Nai",0822349780
BN0156,Hồ Kim F,DT01,Nữ,21/03/2007,QN33052142435739,01/01/2025,31/12/2025,"Ngõ 12, Thị trấn Vĩnh An, TP Hà Nội",0814621673
BN0157,Phạm Yến Vy,DT02,Nữ,03/12/2019,,,,"Khu Phố 5, Phường Nguyễn Du, TP Đà Nẵng",0344170408
BN0158,Hồ Thu Thảo,DT03,Nữ,01/06/1951,BT48030821221119,04/11/2025,03/11/2026,"A2, Thị trấn Vĩnh An, TP Hà Nội",0944014653
BN0159,Đặng Hoàng Nam,DT01,Nam,23/02/1980,QN28061879580465,01/01/2025,31/12/2025,"Số 10, Thị trấn Vĩnh An, TP HCM",0840649694
BN0160,Đỗ Thanh Vân,DT01,Nữ,17/08/1971,BT19019770137447,01/01/2025,31/12/2025,"Đường 3/2, Phường Lê Lợi, Tỉnh Kiên Giang",0360731609
BN0161,Hồ Hoàng Nam,DT01,Nam,15/12/1942,TE82093105617303,16/06/2025,15/06/2026,"Lô B4, Phường Lê Lợi, Tỉnh Kiên Giang",0318244139
BN0162,Hồ Yến Vy,DT01,Nữ,26/08/1976,TE28084442858794,01/01/2025,31/12/2025,"A2, Thị trấn Vĩnh An, Tỉnh Hưng Yên",0847206615
